name,industry,symbol,url,EPS,Divident,CurrentStockPrice,currentRatio,dividentYeild
Mahindra Lifespace Developers Ltd.,CONSTRUCTION,MAHLIFE,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/mahindralifespacedevelopers/MLD,25.47,60,347.35,2.6,1.72%
Mayur Uniquoters Ltd.,TEXTILES,MAYURUNIQ,http://www.moneycontrol.com/india/stockpricequote/plastics/mayuruniquoters/MU,17.19,70,370.2,3.52,0.95%
MindTree Ltd.,IT,MINDTREE,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/mindtree/MT13,36.05,160,475.15,2.18,3.37%
NLC India Ltd.,ENERGY,NLCINDIA,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/nlcindia/NLC,7.18,30,93.35,3.42,3.22%
NMDC Ltd.,METALS,NMDC,http://www.moneycontrol.com/india/stockpricequote/miningminerals/nmdc/NMD02,7.64,1,136.2,6.34,8.07%
National Aluminium Co. Ltd.,METALS,NATIONALUM,http://www.moneycontrol.com/india/stockpricequote/aluminium/nationalaluminiumcompany/NAC,2.84,40,64.5,3.25,3.11%
Nilkamal Ltd.,INDUSTRIAL MANUFACTURING,NILKAMAL,http://www.moneycontrol.com/india/stockpricequote/plastics/nilkamal/NP08,69.62,70,1684.8,2.07,0.41%
Oberoi Realty Ltd.,CONSTRUCTION,OBEROIRLTY,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/oberoirealty/OR,14.01,20,330.45,4.04,0.60%
Oil India Ltd.,ENERGY,OIL,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/oilindia/OI13,38.76,160,333.4,5.06,4.79%
Persistent Systems Ltd.,IT,PERSISTENT,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/persistentsystems/PS15,33.18,80,629.45,5.2,1.27%
SJVN Ltd.,ENERGY,SJVN,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/sjvn/S11,3.4,11,35.75,6.09,3.07%
Shriram City Union Finance Ltd.,FINANCIAL SERVICES,SHRIRAMCIT,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/shriramcityunionfinance/SCU,80.36,150,1901.3,2.19,0.79%
Sonata Software Ltd.,IT,SONATSOFTW,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/sonatasoftware/SS42,11.17,900,189.35,2.74,4.76%
Suven Life Sciences Ltd.,PHARMA,SUVEN,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/suvenlifesciences/SLS01,7.46,200,176.35,4.48,1.14%
TV Today Network Ltd.,MEDIA & ENTERTAINMENT,TVTODAY,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/tvtodaynetwork/TVT,15.81,35,265.75,2.95,0.66%
Tata Coffee Ltd.,CONSUMER GOODS,TATACOFFEE,http://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/tatacoffee/TC14,5.49,130,121.4,2.05,1.07%
Tata Consultancy Services Ltd.,IT,TCS,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/tataconsultancyservices/TCS,116.13,4,2407.9,3.01,1.81%
Tech Mahindra Ltd.,IT,TECHM,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/techmahindra/TM4,33.27,240,503.5,2.29,2.39%
Torrent Pharmaceuticals Ltd.,PHARMA,TORNTPHARM,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/torrentpharmaceuticals/TP06,104.2,700,1260.65,2.07,2.77%
Torrent Power Ltd.,ENERGY,TORNTPOWER,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/torrentpower/TP14,16.98,45,206.55,2.12,2.18%
Unichem Laboratories Ltd.,PHARMA,UNICHEMLAB,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/unichemlaboratories/UL02,11.07,100,267,2.37,0.75%
V-Guard Industries Ltd.,INDUSTRIAL MANUFACTURING,VGUARD,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/vguardindustries/VI02,37.12,70,213,2.49,0.33%
Wipro Ltd.,IT,WIPRO,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/wipro/W,32.78,300,475.35,2.71,1.26%
Zensar Technolgies Ltd.,IT,ZENSARTECH,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/zensartechnologies/ZT02,52.48,120,936,6.45,1.29%
eClerx Services Ltd.,IT,ECLERX,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/eclerxservices/eS06,72.97,10,1372,6.83,0.07%
