name,industry,symbol,url,EPS,Divident,CurrentStockPrice,currentRatio,dividentYeild
Oil India Ltd.,ENERGY,OIL,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/oilindia/OI13,38.76,160,345.45,5.06,4.63%
Tech Mahindra Ltd.,IT,TECHM,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/techmahindra/TM4,33.27,240,496.7,2.29,2.41%
Tata Coffee Ltd.,CONSUMER GOODS,TATACOFFEE,http://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/tatacoffee/TC14,5.49,130,130.9,2.05,1.00%
Mahindra Lifespace Developers Ltd.,CONSTRUCTION,MAHLIFE,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/mahindralifespacedevelopers/MLD,25.47,60,352.65,2.6,1.70%
MindTree Ltd.,IT,MINDTREE,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/mindtree/MT13,36.05,160,461.05,2.18,3.47%
National Aluminium Co. Ltd.,METALS,NATIONALUM,http://www.moneycontrol.com/india/stockpricequote/aluminium/nationalaluminiumcompany/NAC,2.84,40,65.65,3.25,3.05%
Coal India Ltd.,METALS,COALINDIA,http://www.moneycontrol.com/india/stockpricequote/miningminerals/coalindia/CI11,25.87,274,323,3.22,8.48%
Kansai Nerolac Paints Ltd.,CONSUMER GOODS,KANSAINER,http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/kansainerolacpaints/KNP,16.53,305,358,2.57,0.85%
Grindwell Norton Ltd.,INDUSTRIAL MANUFACTURING,GRINDWELL,http://www.moneycontrol.com/india/stockpricequote/abrasives/grindwellnorton/GN,18.34,130,330,2.15,1.96%
eClerx Services Ltd.,IT,ECLERX,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/eclerxservices/eS06,72.97,10,1403.05,6.83,0.07%
Zensar Technolgies Ltd.,IT,ZENSARTECH,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/zensartechnologies/ZT02,52.48,120,915.5,6.45,1.31%
Mayur Uniquoters Ltd.,TEXTILES,MAYURUNIQ,http://www.moneycontrol.com/india/stockpricequote/plastics/mayuruniquoters/MU,17.19,70,372.05,3.52,0.95%
Infosys Ltd.,IT,INFY,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/infosys/IT,68.73,485,954.1,2.97,2.54%
HCL Technologies Ltd.,IT,HCLTECH,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/hcltechnologies/HCL02,33.56,800,818.8,3.8,1.95%
Nilkamal Ltd.,INDUSTRIAL MANUFACTURING,NILKAMAL,http://www.moneycontrol.com/india/stockpricequote/plastics/nilkamal/NP08,69.62,70,1727.65,2.07,0.40%
Bajaj Holdings & Investment Ltd.,FINANCIAL SERVICES,BAJAJHLDNG,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/bajajholdingsinvestment/BHI,114.16,325,2059.95,10.97,1.57%
FDC Ltd.,PHARMA,FDC,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/fdc/FDC,8.82,225,210.45,3.03,1.07%
Persistent Systems Ltd.,IT,PERSISTENT,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/persistentsystems/PS15,33.18,80,616.5,5.2,1.30%
KPIT Technologies Ltd.,IT,KPIT,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/kpittechnologies/KPI02,10.75,110,134.95,2.76,1.63%
Wipro Ltd.,IT,WIPRO,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/wipro/W,32.78,300,466.5,2.71,1.28%
Engineers India Ltd.,CONSTRUCTION,ENGINERSIN,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/engineersindia/EI14,7.67,80,156.6,2.45,2.55%
Bliss GVS Pharma Ltd.,PHARMA,BLISSGVS,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/blissgvspharma/BGV,6.36,50,154.45,2.85,0.32%
Kaveri Seed Company Ltd.,CONSUMER GOODS,KSCL,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/kaveriseedcompany/KSC01,25.65,125,477.9,2.75,0.52%
Suven Life Sciences Ltd.,PHARMA,SUVEN,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/suvenlifesciences/SLS01,7.46,200,182,4.48,1.10%
NMDC Ltd.,METALS,NMDC,http://www.moneycontrol.com/india/stockpricequote/miningminerals/nmdc/NMD02,7.64,1,146.45,6.34,7.52%
Sonata Software Ltd.,IT,SONATSOFTW,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/sonatasoftware/SS42,11.17,900,196.1,2.74,4.58%
TV Today Network Ltd.,MEDIA & ENTERTAINMENT,TVTODAY,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/tvtodaynetwork/TVT,15.81,35,276.9,2.95,0.63%
Gujarat Mineral Development Corporation Ltd.,METALS,GMDCLTD,http://www.moneycontrol.com/india/stockpricequote/miningminerals/gujaratmineraldevelopmentcorporation/GMD,7.55,150,117.85,4.41,2.55%
NLC India Ltd.,ENERGY,NLCINDIA,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/nlcindia/NLC,7.18,30,97.4,3.42,3.09%
